[ 2023-06-04 17:52:10,362 ] 55 root - INFO - Initiating Data Ingestion sequence...
[ 2023-06-04 17:52:16,259 ] 70 root - INFO - Extracted 6 files as DataFrames.
[ 2023-06-04 17:52:16,259 ] 39 root - INFO - Initiating data visulaization sequence...
[ 2023-06-04 17:52:16,259 ] 40 root - INFO - Extracting categorical features.
[ 2023-06-04 17:52:18,238 ] 69 root - INFO - Plots saved as : artifacts\plots\categorical_features_plot.pdf
[ 2023-06-04 17:52:18,609 ] 85 root - INFO - Plots saved as : artifacts\plots\continous_features_plot.pdf
[ 2023-06-04 17:52:18,609 ] 84 root - INFO - Initiating data transformation sequence...
[ 2023-06-04 17:52:18,609 ] 49 root - INFO - Collecting features.
[ 2023-06-04 17:52:18,609 ] 67 root - INFO - Data transformation object extracted.
[ 2023-06-04 17:52:18,625 ] 93 root - INFO - Applying preprocessing object on training dataframe
[ 2023-06-04 17:52:18,641 ] 98 root - INFO - Data transformed successfully
[ 2023-06-04 17:52:24,043 ] 105 root - INFO - Transformed data saved as .xlsx @ [artifacts/data/transformed_churn.xlsx]
